ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2013,"2013",0,"Total",13663,2632,"Census Tract 9, Peoria County, IL","14000US17143000900"
2013,"2013",0,"Total",48583,3577.0000000000005,"Census Tract 26, Peoria County, IL","14000US17143002600"
2013,"2013",0,"Total",31690,5789,"Census Tract 18, Peoria County, IL","14000US17143001800"
2013,"2013",0,"Total",26268,3163,"Census Tract 16, Peoria County, IL","14000US17143001600"
2013,"2013",0,"Total",62432,5760,"Census Tract 31.02, Peoria County, IL","14000US17143003102"
2013,"2013",0,"Total",25582,4210,"Census Tract 15, Peoria County, IL","14000US17143001500"
2013,"2013",0,"Total",76369,8342,"Census Tract 34.01, Peoria County, IL","14000US17143003401"
2013,"2013",0,"Total",35000,25117,"Census Tract 19, Peoria County, IL","14000US17143001900"
2013,"2013",0,"Total",74107,5888,"Census Tract 20, Peoria County, IL","14000US17143002000"
2013,"2013",0,"Total",18271,3578,"Census Tract 13, Peoria County, IL","14000US17143001300"
2013,"2013",0,"Total",77372,10059,"Census Tract 31.01, Peoria County, IL","14000US17143003101"
2013,"2013",0,"Total",93611,13336,"Census Tract 34.02, Peoria County, IL","14000US17143003402"
2013,"2013",0,"Total",26882,5597,"Census Tract 21, Peoria County, IL","14000US17143002100"
2013,"2013",0,"Total",18304,5923,"Census Tract 12, Peoria County, IL","14000US17143001200"
2013,"2013",0,"Total",61212,8404,"Census Tract 30, Peoria County, IL","14000US17143003000"
2013,"2013",0,"Total",51612,11216,"Census Tract 32, Peoria County, IL","14000US17143003200"
2013,"2013",0,"Total",69534,14595,"Census Tract 41.01, Peoria County, IL","14000US17143004101"
2013,"2013",0,"Total",46885,5389,"Census Tract 22, Peoria County, IL","14000US17143002200"
2013,"2013",0,"Total",54821,12223,"Census Tract 23, Peoria County, IL","14000US17143002300"
2013,"2013",0,"Total",26420,4759,"Census Tract 6, Peoria County, IL","14000US17143000600"
2013,"2013",0,"Total",45893,7084.999999999999,"Census Tract 28, Peoria County, IL","14000US17143002800"
2013,"2013",0,"Total",39821,10372,"Census Tract 41.02, Peoria County, IL","14000US17143004102"
2013,"2013",0,"Total",57563,6963,"Census Tract 24, Peoria County, IL","14000US17143002400"
2013,"2013",0,"Total",17098,4749,"Census Tract 5, Peoria County, IL","14000US17143000500"
2013,"2013",0,"Total",37813,5838,"Census Tract 27.02, Peoria County, IL","14000US17143002702"
2013,"2013",0,"Total",25060,12031,"Census Tract 3, Peoria County, IL","14000US17143000300"
2013,"2013",0,"Total",16081,5206,"Census Tract 50, Peoria County, IL","14000US17143005000"
2013,"2013",0,"Total",31688,7955,"Census Tract 25, Peoria County, IL","14000US17143002500"
2013,"2013",0,"Total",42369,7044.999999999999,"Census Tract 27.01, Peoria County, IL","14000US17143002701"
2013,"2013",0,"Total",24375,6421,"Census Tract 2, Peoria County, IL","14000US17143000200"
2013,"2013",0,"Total",15169,6722,"Census Tract 1, Peoria County, IL","14000US17143000100"
