-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
August,20,"1,063","1,151","1,239",48.8,0.99,1.13,1.24,0.05,1.57,1.74,1.91,0.07
August,21,"1,043","1,140","1,224",48.6,0.98,1.13,1.24,0.06,1.57,1.73,1.90,0.08
August,22,"1,067","1,163","1,256",47.5,1.00,1.18,1.31,0.07,1.59,1.80,1.97,0.09
August,23,"1,094","1,183","1,294",43.1,1.01,1.29,1.60,0.11,1.60,1.91,2.26,0.12
August,24,"1,145","1,259","1,395",56.2,1.18,1.51,1.87,0.15,1.76,2.15,2.56,0.16
September,Monthly Average,"1,030","1,168","1,397",87.9,0.90,1.36,2.14,0.29,1.46,1.95,2.76,0.30
September,1,"1,129","1,260","1,386",62.5,1.29,1.67,2.12,0.18,1.92,2.27,2.76,0.19
September,2,"1,155","1,274","1,397",63.2,1.35,1.71,2.04,0.18,1.98,2.31,2.71,0.19
September,3,"1,158","1,282","1,372",60.7,1.38,1.74,2.04,0.17,1.99,2.34,2.64,0.17
September,4,"1,158","1,285","1,378",62.3,1.38,1.74,2.11,0.17,1.99,2.35,2.66,0.18
September,5,"1,139","1,269","1,384",66.1,1.34,1.70,2.14,0.18,1.94,2.30,2.69,0.19
September,6,"1,118","1,238","1,356",67.1,1.28,1.63,2.06,0.20,1.88,2.22,2.61,0.20
September,7,"1,102","1,222","1,363",73.1,1.17,1.56,2.00,0.23,1.77,2.15,2.57,0.22
September,8,"1,085","1,197","1,321",65.3,1.14,1.47,1.88,0.20,1.74,2.06,2.44,0.20
September,9,"1,042","1,173","1,272",60.2,1.04,1.38,1.81,0.19,1.62,1.97,2.33,0.19
September,10,"1,037","1,147","1,263",56.5,1.02,1.30,1.70,0.19,1.59,1.89,2.28,0.19
September,11,"1,041","1,130","1,240",48.7,0.99,1.24,1.64,0.17,1.56,1.82,2.19,0.17
September,12,"1,047","1,116","1,209",41.1,0.98,1.20,1.58,0.16,1.55,1.77,2.12,0.15
September,13,"1,045","1,108","1,194",35.6,0.97,1.17,1.53,0.15,1.54,1.74,2.08,0.14
September,14,"1,031","1,098","1,191",34.3,0.94,1.15,1.51,0.14,1.50,1.71,2.05,0.13
September,15,"1,043","1,094","1,192",34.8,0.95,1.13,1.49,0.13,1.52,1.69,2.04,0.12
September,16,"1,035","1,089","1,182",33.7,0.93,1.11,1.45,0.12,1.52,1.68,2.00,0.12
September,17,"1,030","1,095","1,220",37.9,0.93,1.12,1.46,0.12,1.53,1.69,2.09,0.12
September,18,"1,040","1,102","1,219",41.1,0.90,1.12,1.46,0.13,1.47,1.70,2.08,0.13
September,19,"1,042","1,107","1,203",36.9,0.91,1.13,1.46,0.12,1.46,1.71,2.03,0.12
September,20,"1,038","1,100","1,197",35.9,0.91,1.12,1.48,0.12,1.46,1.70,2.03,0.12
September,21,"1,039","1,104","1,222",37.6,0.93,1.14,1.48,0.12,1.51,1.72,2.11,0.13
September,22,"1,034","1,131","1,241",44.9,0.94,1.21,1.51,0.13,1.52,1.80,2.15,0.14
September,23,"1,078","1,181","1,297",57.6,1.10,1.40,1.81,0.17,1.69,2.00,2.40,0.18
September,24,"1,103","1,241","1,348",64.0,1.24,1.60,2.08,0.20,1.83,2.21,2.63,0.21
October,Monthly Average,977,"1,210","1,447",100.5,0.70,1.41,2.23,0.40,1.37,2.11,2.89,0.37
October,1,"1,172","1,323","1,432",71.5,1.12,1.77,2.23,0.35,1.99,2.51,2.89,0.26
October,2,"1,174","1,333","1,431",71.8,1.17,1.80,2.17,0.36,2.04,2.55,2.87,0.26
October,3,"1,209","1,343","1,442",68.1,1.13,1.83,2.20,0.36,2.11,2.58,2.87,0.25
October,4,"1,196","1,334","1,447",72.8,1.08,1.82,2.19,0.38,2.10,2.56,2.88,0.27
October,5,"1,180","1,310","1,425",71.1,1.07,1.76,2.18,0.36,2.01,2.49,2.84,0.26
October,6,"1,151","1,283","1,419",75.1,0.99,1.67,2.15,0.36,1.93,2.40,2.82,0.27
October,7,"1,128","1,248","1,418",77.5,0.92,1.54,2.16,0.36,1.82,2.25,2.82,0.29
October,8,"1,114","1,230","1,382",72.0,0.90,1.48,2.07,0.33,1.78,2.19,2.72,0.27
October,9,"1,103","1,209","1,353",68.9,0.88,1.42,2.00,0.32,1.74,2.12,2.60,0.26
October,10,"1,071","1,189","1,323",65.7,0.90,1.35,1.87,0.29,1.68,2.05,2.51,0.24
October,11,"1,053","1,168","1,276",59.6,0.84,1.29,1.77,0.28,1.61,1.98,2.38,0.22
October,12,"1,064","1,160","1,277",54.4,0.82,1.25,1.70,0.26,1.61,1.94,2.33,0.21
October,13,"1,061","1,151","1,252",50.4,0.81,1.22,1.66,0.25,1.59,1.91,2.28,0.20
October,14,"1,064","1,142","1,234",47.9,0.78,1.19,1.62,0.25,1.57,1.87,2.24,0.19
October,15,"1,043","1,139","1,227",49.3,0.77,1.17,1.58,0.24,1.52,1.86,2.20,0.19
October,16,"1,040","1,135","1,222",48.4,0.76,1.15,1.59,0.24,1.50,1.83,2.20,0.19
October,17,"1,032","1,135","1,223",50.5,0.75,1.14,1.58,0.24,1.48,1.82,2.20,0.19
October,18,"1,007","1,134","1,210",49.5,0.74,1.13,1.51,0.23,1.42,1.81,2.13,0.18
October,19,977,"1,115","1,187",51.7,0.70,1.10,1.44,0.23,1.37,1.77,2.06,0.18
October,20,982,"1,113","1,197",49.9,0.73,1.11,1.45,0.23,1.37,1.78,2.08,0.18
October,21,"1,001","1,126","1,205",48.6,0.74,1.13,1.49,0.23,1.42,1.81,2.11,0.18
