-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
June,24,"1,113","1,240","1,334",59.9,1.85,2.60,3.28,0.37,0.59,0.74,0.83,0.07
July,Monthly Average,"1,156","1,276","1,444",58.6,1.86,2.84,4.00,0.54,0.62,0.79,0.95,0.06
July,1,"1,213","1,316","1,373",29.9,2.80,3.30,3.58,0.16,0.72,0.82,0.87,0.03
July,2,"1,234","1,342","1,410",31.0,2.94,3.47,3.76,0.16,0.74,0.85,0.90,0.03
July,3,"1,253","1,358","1,427",31.5,3.05,3.58,3.89,0.17,0.76,0.87,0.92,0.03
July,4,"1,265","1,365","1,444",35.4,3.11,3.63,3.97,0.19,0.77,0.87,0.94,0.04
July,5,"1,261","1,364","1,442",35.5,3.08,3.62,4.00,0.19,0.77,0.87,0.94,0.03
July,6,"1,233","1,340","1,419",38.8,2.93,3.48,3.91,0.23,0.74,0.85,0.94,0.04
July,7,"1,229","1,324","1,433",48.5,2.82,3.37,3.96,0.29,0.75,0.83,0.95,0.05
July,8,"1,221","1,310","1,404",45.6,2.72,3.25,3.80,0.27,0.74,0.81,0.92,0.05
July,9,"1,194","1,285","1,364",41.8,2.57,3.02,3.57,0.24,0.70,0.78,0.86,0.04
July,10,"1,179","1,259","1,337",39.2,2.39,2.81,3.33,0.21,0.65,0.75,0.82,0.04
July,11,"1,166","1,243","1,315",35.7,2.21,2.62,3.12,0.20,0.64,0.74,0.82,0.04
July,12,"1,169","1,238","1,300",32.9,2.08,2.48,2.99,0.20,0.64,0.75,0.86,0.05
July,13,"1,173","1,234","1,302",30.7,2.01,2.38,2.95,0.21,0.63,0.77,0.88,0.05
July,14,"1,174","1,233","1,287",29.8,1.92,2.30,2.89,0.21,0.63,0.78,0.89,0.05
July,15,"1,176","1,234","1,279",28.2,1.90,2.25,2.84,0.21,0.63,0.79,0.91,0.06
July,16,"1,173","1,234","1,275",27.8,1.86,2.23,2.81,0.21,0.62,0.80,0.93,0.06
